name
"Sekolah Tinggi Intelijen Negara	"
Sekolah Tinggi Meteorologi Klimatologi dan Geofisika
Politeknik Statistika STIS
Sekolah Tinggi Teknologi Nuklir Yogyakarta
Sekolah Tinggi Ilmu Syari'ah Darussalam Bermi
Sekolah Tinggi Pertanahan Nasional Yogyakarta
Akademi Keperawatan Tjoet Nya' Dhien Banda Aceh
Akademi Analis Kesehatan Pemerintah Aceh
Akademi Keperawatan Pemkab Aceh Tenggara
Akademi Keperawatan Pemkab Aceh Selatan
Akademi Kebidanan Pemkab Aceh Tengah Takengon
Akademi  Keperawatan Pemkab Aceh Utara
Akademi Kebidanan Pemkab Aceh Utara Lhokseumawe
Akademi Keperawatan Pemkab Pidie Di Sigli
Akademi Farmasi Nad
Akademi Kebidanan Pemprov Bali singaraja
Akademi Keperawatan Pemkab Belitung
Akademi Keperawatan Jayakarta Prov Dki Jakarta
Akademi Farmasi Propinsi Jambi
Akademi Analis Kesehatan Provinsi Jambi
Akademi Keperawatan Pemkab Indramayu
Akademi Keperawatan Pemkab Sumedang
Akademi Keperawatan Pemkab Cianjur
Akademi Keperawatan Pemkab Garut
Akademi Keperawatan Pemkab Subang
Akademi Keperawatan Pemprov Jawa Tengah
Akademi Kebidanan Pemkab Kendal
Akademi Keperawatan Pemkot Tegal
Akademi Keperawatan Pemkab Gresik
Akademi Keperawatan Pemkot Pasuruan
Akademi Keperawatan Pemkab Ponorogo
Akademi Keperawatan Pemkab Lamongan
Akademi Keperawatan Dr. Soedono Madiun Prov. Jawa Timur
Akademi Gizi Surabaya
Akademi Keperawatan Pemkab Pamekasan
Akademi Keperawatan Pemkab Trenggalek
Akademi Kebidanan Pemkab Bojonegoro
Akademi Keperawatan Pemkab Ketapang
Akademi Keperawatan Pemprov Kalbar di Sintang
Akademi Keperawatan Murakata Barabai
Akademi Keperawatan Pemkab Kapuas
Akademi Keperawatan Pemkab Kotawaringin Timur Kalteng
Akademi Keperawatan Pemprov Kaltim
Akademi Perawat Kesehatan Provinsi NTB
Akademi Keperawatan Waikabubak Pemda Sumba Barat
Akademi Kesehatan Provinsi Riau
Akademi Keperawatan Anging Mammiri Pemprov Sulsel
Akademi Keperawatan Pemkab Bulukumba
Akademi Keperawatan Pemkab Wajo
Akademi Keperawatan Pemda Toli-Toli
Akademi Keperawatan Luwuk
Akademi Keperawatan Pemkab Donggala
Akademi Keperawatan Pemkab Konawe
Akademi Keperawatan Pemkab Buton
Akademi Keperawatan Pemkab Kolaka
Akademi Keperawatan Pemkab Muna
Akademi Keperawatan Pemkab Musi Banyuasin
Akademi Kesehatan Lingkungan Pemprov Sumatera Selatan
Akademi Kebidanan Pemkab Muara Enim
Akademi Keperawatan Pemkab Lahat
Akper Pemkot Tanjung Balai
Akademi Kebidanan Pemkot Tebing Tinggi
Akademi Keperawatan Gunungsitoli Pemerintah Kabupaten Nias
Akademi Keperawatan Pemkab Labuhan Batu
Akademi Keperawatan Pemkab Tapanuli Tengah
Akademi Kebidanan Tarutung Pemkab Tapanuli Utara
Akademi Keperawatan Pemkab Dairi
Akademi Keperawatan Pemkab Asahan Kisaran 
Akademi Kebidanan Pemkab Karo Kabanjahe
Akademi Keperawatan Pemkab Langkat
Institut Pemerintahan Dalam Negeri
Politeknik Energi dan Mineral Akamigas
Sekolah Tinggi Energi dan Mineral
Politeknik Imigrasi
Politeknik Ilmu Pemasyarakatan
"Sekolah Tinggi Multi Media ""MMTC"" Yogyakarta "
Politeknik Kelautan dan Perikanan Karawang
Politeknik Kelautan dan Perikanan Sidoarjo
Politeknik Kelautan dan Perikanan Kupang
Politeknik Kelautan dan Perikanan Sorong
Politeknik Kelautan dan Perikanan Bone
Politeknik Kelautan dan Perikanan Bitung
Sekolah Tinggi Perikanan
Poltekkes Kemenkes Aceh
Poltekkes Kemenkes Denpasar
Poltekkes Kemenkes Pangkal Pinang
Poltekkes Kemenkes Banten
Poltekkes Kemenkes Bengkulu
Poltekkes Kemenkes Yogyakarta
Poltekkes Kemenkes Jakarta I
Poltekkes Kemenkes Jakarta II
Poltekkes Kemenkes Gorontalo
Poltekkes Kemenkes Jambi
Poltekkes Kemenkes Jakarta III
Poltekkes Kemenkes Tasikmalaya
Poltekkes Kemenkes Bandung
Poltekkes Kemenkes Semarang
Poltekkes Kemenkes Surakarta
Poltekkes Kemenkes Malang
Poltekkes Kemenkes Surabaya
Poltekkes Kemenkes Pontianak
Poltekkes Kemenkes Banjarmasin
Poltekkes Kemenkes Palangkaraya
Poltekkes Kemenkes Kalimantan Timur
Poltekkes Kemenkes Tanjung Pinang
Poltekkes Kemenkes Tanjung Karang
Poltekkes Kemenkes Maluku
Poltekkes Kemenkes Ternate
Poltekkes Kemenkes Mataram
Poltekkes Kemenkes Kupang
